Company Name,Website,City / Location,Segment,What They Make,Revenue Band (Est.),Decision Maker,DM Title,DM Background,C1 Manufacturer Score,C1 Evidence,C2 India Score,C2 Evidence,C3 Differentiation Score,C3 Evidence,C4 Tech DM Score,C4 Evidence,C5 Tailwind Score,C5 Evidence,C6 Growth Score,C6 Evidence,Federer Score (0-100),Score Band,Verdict,Verdict Reasoning,Personalization Hook,Evidence Sources
Chembond Material Tech,chembond.com,Pune,Surface Treatment,Corrosion protection chemicals,Rs. 100-300Cr,Sameer Shah,Director,Technical degree from foreign university,Strong,Manufacturing in Pune & Thane,Strong,Strong Pune presence,Moderate,High-performance anti-corrosive coatings,Strong,Founder led technical strategy,Moderate,Automotive/Steel industry tailwind,Strong,Recent plant upgrades,77,B - Probable Federer,Pass,Corrosion protection expert with technical pedigree,Decades of expertise in metal treatment for the automotive hub.,chembond.com
Biodeal Pharmaceuticals,biodeal.co.in,Pune,Pharma intermediates,Vitamin premixes & specialty APIs,Rs. 200-300Cr,Technical Team,Pharma Industry Veterans,Strong,Shikrapur (Pune) manufacturing plant,Strong,Pune based HQ,Moderate,Pharma-grade quality certifications,Moderate,Technical operational leadership,Strong,Growth in preventive healthcare/supplements,Moderate,Expansion in domestic market,75,B - Probable Federer,Pass,Reliable pharma intermediate manufacturer,Specialized vitamin premixes for global pharma giants.,biodeal.co.in,
Cipy Polyurethanes,cipy.com,Pune,Polymers,Industrial flooring & PU chemicals,Rs. 150-250Cr,Founder Group,Technical Polymer Experts,Strong,Large facility in Pune MIDC,Strong,Pune HQ,Strong,Technical moat in resin-based flooring,Strong,Founders involved in R&D,Moderate,Real estate and industrial infra growth,Moderate,Exports to Middle East/SEA,78,B - Probable Federer,Pass,Polyurethane technology leader in India,Pioneered resinous flooring systems for large industrial complexes.,cipy.com,
Unicare Technologies,unicaretechnologies.com,Pune,Water Filtration,Industrial water purification systems,Rs. 50-150Cr,Anand Raval,Founder,Technical/Operations focus,Strong,Own mfg unit in Pune,Strong,Pune HQ,Moderate,Customized water filtration solutions,Moderate,Founder-led technical team,Strong,Sustainability and ZLD regulations,Moderate,Steady industrial expansion,76,B - Probable Federer,Pass,Expert in industrial water sustainability,Driving zero-liquid-discharge (ZLD) systems for Pune's industries.,unicaretechnologies.com
Globe Chemie,globechemie.com,Pune,Peptide Reagents,Peptide synthesis & specialty reagents,Rs. 50-150Cr,Dr. S. K. Singh,Founder,PhD in Organic Chemistry; Peptide expert,Strong,Specialized lab and mfg in Pune,Strong,Pune based,Strong,Niche peptide synthesis reagents,Strong,PhD led technical R&D,Strong,Global shift toward peptide-based drugs,Moderate,Expanding high-end reagent catalog,83,A - Strong Federer,Strong Pass,Scientist-led peptide chemistry specialist,PhD-led innovation in high-purity peptide reagents.,globechemie.com
Prescient Color Ltd,prescientcolor.com,Pune,Masterbatches,Colorants for high-performance plastics,Rs. 100-300Cr,Technical Mgmt,Color Chemistry Experts,Strong,Plant in Pune district,Strong,Pune HQ,Moderate,Tailor-made color masterbatches,Moderate,Technical leadership in polymer science,Strong,EV and consumer plastic growth,Moderate,Steady revenue growth,79,B - Probable Federer,Pass,High-tech colorant expert for polymer industry,Custom color solutions for the booming Indian EV sector.,prescientcolor.com,
Chemcoat (India),chemcoatindia.com,Pune,Coatings,Industrial resins & specialized coatings,Rs. 50-100Cr,Founder Group,Engineering background,Strong,Pune based manufacturing,Strong,Pune HQ,Moderate,Specialized resins for industrial use,Moderate,Founder led technical ops,Moderate,Industrial expansion in Maharashtra,Moderate,Stable market presence,77,B - Probable Federer,Pass,Reliable industrial coating manufacturer,Specialized resin formulations for durable industrial coatings.,chemcoatindia.com,
Subhash Chemical Ind.,subhashchemical.com,Pune,Intermediates,Dye intermediates and catalysts,Rs. 50-150Cr,Promoter Group,Bhosari MIDC Legacy,Strong,Established plant in Bhosari,Strong,Pune based,Moderate,Industrial grade intermediates,Weak,Promoter driven (Gen-2),Moderate,Textile and dye sector demand,Weak,Consistent legacy operations,75,B - Probable Federer,Pass,Legacy manufacturer in Pune's chemical heart,Decades of experience in the Bhosari MIDC chemical cluster.,subhashchemical.com,
Siegwerk India Pvt Ltd,siegwerk.com,Pune,Packaging Inks,High-end industrial printing inks,Rs. 300-500Cr,Technical Team,Ink Chemists,Strong,Large Pune facility,Strong,Pune HQ,Strong,Food-safe industrial inks,Moderate,Technical management,Strong,Packaging sector (FMCG) boom,Moderate,Focus on sustainable ink solutions,76,B - Probable Federer,Pass,Technical leader in safe packaging inks,Food-safe ink solutions for global FMCG packaging.,siegwerk.com,
Deepak Novochem Tech,dnt.co.in,Pune,Organic Synthesis,Advanced organic chemical intermediates,Rs. 300-500Cr,Founder Group,Technical/Chemical Engg,Strong,Plant in Lote (HQ Pune),Strong,Pune Corporate HQ,Strong,Complex catalytic synthesis,Strong,Technical founder group,Strong,Pharma/Agro intermediate demand,Moderate,Growing CDMO focus,80,B - Probable Federer,Pass,High-end technical synthesis house in Pune,Advanced catalytic synthesis for complex global molecules.,dnt.co.in,
Aura Life Sciences,aurals.com,Pune,Nutraceuticals,Bio-research based nutrients,Rs. 50-100Cr,Promoter Group,Technical/Bioscience,Strong,Pune based manufacturing,Strong,Pune HQ,Moderate,Bio-available nutrient formulations,Moderate,Technical leadership,Moderate,Preventive health tailwind,Weak,R&D focused growth,74,B - Probable Federer,Pass,Research-driven nutraceutical player,Bio-available formulations for the preventive healthcare market.,aurals.com,
Compass Chemical Intl,compasschem.com,Pune,Water Treatment,Industrial anti-scalants & chemicals,Rs. 50-200Cr,Technical MD,Chemical Industry Veteran,Strong,Pune based plant,Strong,Pune HQ,Moderate,Specialized water scaling solutions,Moderate,Technical MD led team,Moderate,Industrial water recycling push,Moderate,Steady B2B client growth,76,B - Probable Federer,Pass,Specialized industrial water treatment provider,Expert anti-scalant solutions for heavy industrial boilers.,compasschem.com,
Pratibha Syntex (Chemical Unit),pratibhasyntex.com,Pune,Textile Chemicals,Eco-friendly textile processing agents,Rs. 100-300Cr,Promoter Group,Green Chemistry focus,Strong,Plant in Maharashtra (Pune influence),Strong,Pune presence,Strong,Sustainability focused chemicals,Moderate,Management led technical shift,Strong,Global shift to sustainable textiles,Moderate,Expansion in eco-friendly lines,78,B - Probable Federer,Pass,Leader in sustainable textile chemistry,Driving green chemistry for the global fashion supply chain.,pratibhasyntex.com,
Suyash Laboratories,suyashlabs.com,Pune,Hygiene Chemicals,Pharma-grade disinfectants,Rs. 50-100Cr,Satish Joshi,MD,Engineering Background,Strong,Plant in Bhosari Pune,Strong,Pune HQ,Moderate,Specialized food-grade disinfectants,Weak,Engineering led promoter,Moderate,Pharma/FSSAI regulation tailwind,Weak,Stable MSME operations,73,B - Probable Federer,Pass,Niche hygiene chemical manufacturer in Bhosari,Specialized pharma-grade hygiene solutions for local units.,suyashlabs.com
Clean Science & Tech,cleanscience.co.in,Pune,Green Chemicals,Catalytic process performance chemicals,Rs. 500Cr+,Ashok Boob,MD,ICT Chemical Engineer,Strong,Plant in Kurkumbh Pune,Strong,Pune HQ,Strong,World's only green catalytic route for MEHQ,Strong,ICT/UDCT founder led,Strong,Global REACH compliance tailwind,Strong,Publicly listed rapid growth,85,A - Strong Federer,Strong Pass,Global leader in green catalytic chemistry,World's only manufacturer of MEHQ via green catalytic process.,cleanscience.co.in
